customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,historical_value,projected_future_value,CLV,cost_discount,cost_outreach,tenure_bucket,service_count,high_friction_payment,price_per_service
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,29.85,429.84,459.69000000000005,17.910000000000004,15.0,0-6mo,1,1,14.925
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,1889.5,1366.8000000000002,3256.3,34.17,15.0,2-4yr,2,0,18.983333333333334
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,108.15,775.44,883.59,32.31,15.0,0-6mo,2,0,17.95
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,1840.75,1015.2,2855.95,25.379999999999995,15.0,2-4yr,3,0,10.575
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,151.65,1018.08,1169.73,42.42,15.0,0-6mo,0,1,70.7
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,820.5,1434.9600000000005,2255.46,59.790000000000006,15.0,6-12mo,3,1,24.9125
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,1949.4,1283.0399999999995,3232.44,53.46,15.0,1-2yr,2,0,29.7
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,301.9,428.4,730.3,17.85,15.0,6-12mo,1,0,14.875
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,3046.05,1509.12,4555.17,62.88,15.0,2-4yr,4,1,20.96
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,3487.95,1347.6,4835.549999999999,33.69,15.0,4yr+,2,0,18.716666666666665
