customerID,CLV,cost_discount,cost_outreach,churn_prob,actual_churn,value_at_risk,ev_discount,ev_outreach,recommended_action,expected_value
5804-HYIEZ,9081.17,63.63,15.0,0.7097848,0,6445.676432216,2192.3567512756,951.8514648324,discount,2192.3567512756
7056-IMHCC,7016.76,61.14000000000001,15.0,0.7872409,1,5523.8804574840005,1872.2181601193997,813.5820686226,discount,1872.2181601193997
6377-WHAOX,7939.81,63.69000000000001,15.0,0.67547077,0,5363.1095743537,1813.398351023795,789.466436153055,discount,1813.398351023795
1444-VVSGW,10744.45,69.39000000000001,15.0,0.50060904,1,5378.768799828,1813.1790799397997,791.8153199741998,discount,1813.1790799397997
4840-ORQXB,7349.75,62.85000000000001,15.0,0.6979152,0,5129.5022412,1732.4757844199999,754.4253361799999,discount,1732.4757844199999
1035-IPQPU,7969.799999999999,62.10000000000001,15.0,0.6352891,0,5063.12706918,1709.9944742129999,744.469060377,discount,1709.9944742129999
6815-ABQFQ,8607.3,64.35000000000001,15.0,0.586587,0,5048.930285099999,1702.7755997849997,742.3395427649999,discount,1702.7755997849997
7067-KSAZT,9529.8,63.75,15.0,0.5285052,1,5036.5488549599995,1699.0420992359998,740.482328244,discount,1699.0420992359998
2277-DJJDL,7443.5,59.400000000000006,15.0,0.67438537,0,5019.787501595,1697.5256255582499,737.96812523925,discount,1697.5256255582499
4937-QPZPO,8638.95,59.94000000000001,15.0,0.5808882,0,5018.26411539,1696.4524403864998,737.7396173085,discount,1696.4524403864998
8785-CJSHH,7422.87,59.88,15.0,0.67159045,0,4985.1286035915,1684.9150112570246,732.7692905387249,discount,1684.9150112570246
7134-MJPDY,9445.15,61.71,15.0,0.5280826,0,4987.819369389999,1684.0267792864997,733.1729054084999,discount,1684.0267792864997
2800-QQUSO,5667.27,60.18000000000001,15.0,0.86807436,0,4919.611778197201,1661.6841223690199,722.9417667295801,discount,1661.6841223690199
3567-PQTSO,8102.3,63.150000000000006,15.0,0.60012865,0,4862.422360895001,1638.69782631325,714.36335413425,discount,1638.69782631325
6651-AZVTJ,6309.57,59.88,15.0,0.7685047,1,4848.934199979,1637.2469699926498,712.34012999685,discount,1637.2469699926498
2659-VXMWZ,10153.3,66.78,15.0,0.47807664,1,4854.055548912,1632.1394421191997,713.1083323367999,discount,1632.1394421191997
7279-BUYWN,6319.58,67.92,15.0,0.7679076,1,4852.8535108080005,1630.5787287827998,712.9280266211999,discount,1630.5787287827998
2252-JHJGE,8859.45,62.400000000000006,15.0,0.54204154,0,4802.189921553001,1618.3664725435501,705.3284882329501,discount,1618.3664725435501
9844-FELAJ,10065.45,64.74000000000001,15.0,0.47723848,0,4803.620058516,1616.5270204806,705.5430087774001,discount,1616.5270204806
0310-MVLET,7437.81,59.49000000000001,15.0,0.6389692,1,4752.531505452001,1603.8960269082002,697.8797258178,discount,1603.8960269082002
5331-RGMTT,6722.02,59.43000000000001,15.0,0.7028112,0,4724.310942624,1594.0788299183998,693.6466413936,discount,1594.0788299183998
8938-UMKPI,6660.11,63.84,15.0,0.70795554,1,4715.0617715094,1586.43162002829,692.2592657264099,discount,1586.43162002829
